model,timezero,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar,Unnamed: 0
CEID-Walk,2021-01-25,01/25/21-12:10:36,,,v1,
CEID-Walk,2021-01-25,01/25/21-12:10:36,,,v1,
CEID-Walk,2021-02-01,02/01/21-13:27:47,,,v1,
CEID-Walk,2021-02-01,02/01/21-13:27:47,,,v1,
CEID-Walk,2021-02-08,02/08/21-13:19:49,,,v1,
CEID-Walk,2021-02-08,02/08/21-13:19:49,,,v1,
CEID-Walk,2021-02-15,02/15/21-10:11:52,,,v1,
CEID-Walk,2021-02-15,02/15/21-10:11:52,,,v1,
CEID-Walk,2021-02-22,02/22/21-11:56:43,,,v1,
CEID-Walk,2021-02-22,02/22/21-11:56:43,,,v1,
CEID-Walk,2021-03-01,03/01/21-12:01:58,,,v1,
CEID-Walk,2021-03-01,03/01/21-12:01:58,,,v1,
CEID-Walk,2021-03-08,03/08/21-12:08:51,,,v1,
CEID-Walk,2021-03-08,03/08/21-12:08:51,,,v1,
CEID-Walk,2021-03-15,03/15/21-14:10:16,,,v1,
CEID-Walk,2021-03-15,03/15/21-14:10:16,,,v1,
CEID-Walk,2021-03-22,03/22/21-13:19:00,,,v1,
CEID-Walk,2021-03-22,03/22/21-13:19:00,,,v1,
CEID-Walk,2021-03-29,03/29/21-12:26:20,,,v1,
CEID-Walk,2021-03-29,03/29/21-12:26:20,,,v1,
CEID-Walk,2021-04-05,04/05/21-17:42:38,,,v1,
CEID-Walk,2021-04-05,04/05/21-17:42:38,,,v1,
CEID-Walk,2021-04-12,04/12/21-12:24:47,,,v1,
CEID-Walk,2021-04-12,04/12/21-12:24:47,,,v1,
CEID-Walk,2021-04-19,04/19/21-13:46:57,,,v1,
CEID-Walk,2021-04-19,04/19/21-13:46:57,,,v1,
CEID-Walk,2021-04-26,04/26/21-13:16:02,,,v1,
CEID-Walk,2021-04-26,04/26/21-13:16:02,,,v1,
CEID-Walk,2021-05-03,05/03/21-14:08:47,,,v1,
CEID-Walk,2021-05-03,05/03/21-14:08:47,,,v1,
CEID-Walk,2021-05-10,05/10/21-13:45:55,,,v1,
CEID-Walk,2021-05-10,05/10/21-13:45:55,,,v1,
CEID-Walk,2021-05-17,05/17/21-16:20:34,,,v1,
CEID-Walk,2021-05-17,05/17/21-16:20:34,,,v1,
CEID-Walk,2021-05-24,05/24/21-09:53:29,,,v1,
CEID-Walk,2021-05-24,05/24/21-09:53:29,,,v1,
CEID-Walk,2021-05-31,05/31/21-18:05:24,,,v1,
CEID-Walk,2021-05-31,05/31/21-18:05:24,,,v1,
CEID-Walk,2021-06-07,06/07/21-11:43:08,,,v1,
CEID-Walk,2021-06-07,06/07/21-11:43:08,,,v1,
CEID-Walk,2021-06-14,06/14/21-13:45:10,,,v1,
CEID-Walk,2021-06-14,06/14/21-13:45:10,,,v1,
CEID-Walk,2021-06-21,06/21/21-14:36:00,,,v1,
CEID-Walk,2021-06-21,06/21/21-14:36:00,,,v1,
CEID-Walk,2021-06-28,06/28/21-11:38:40,,,v1,
CEID-Walk,2021-06-28,06/28/21-11:38:40,,,v1,
CMU-TimeSeries,2020-07-20,07/20/20-15:52:28,,,v1,
CMU-TimeSeries,2020-07-20,07/20/20-15:52:28,,,v1,
CMU-TimeSeries,2020-07-27,07/27/20-18:19:01,,,v1,
CMU-TimeSeries,2020-07-27,07/27/20-18:19:01,,,v1,
CMU-TimeSeries,2020-08-02,08/03/20-16:36:23,,,v1,
CMU-TimeSeries,2020-08-02,08/03/20-16:36:23,,,v1,
CMU-TimeSeries,2020-08-10,08/10/20-18:34:02,,,v1,
CMU-TimeSeries,2020-08-10,08/10/20-18:34:02,,,v1,
CMU-TimeSeries,2020-08-17,08/17/20-17:51:11,,,v1,
CMU-TimeSeries,2020-08-17,08/17/20-17:51:11,,,v1,
CMU-TimeSeries,2020-08-24,08/24/20-18:17:52,,,v1,
CMU-TimeSeries,2020-08-24,08/24/20-18:17:52,,,v1,
CMU-TimeSeries,2020-08-31,08/31/20-17:47:53,,,v1,
CMU-TimeSeries,2020-08-31,08/31/20-17:47:53,,,v1,
CMU-TimeSeries,2020-09-07,09/07/20-16:05:55,,,v1,
CMU-TimeSeries,2020-09-07,09/07/20-16:05:55,,,v1,
CMU-TimeSeries,2020-09-14,09/14/20-18:06:20,,,v1,
CMU-TimeSeries,2020-09-14,09/14/20-18:06:20,,,v1,
CMU-TimeSeries,2020-09-21,09/21/20-17:58:00,,,v1,
CMU-TimeSeries,2020-09-21,09/21/20-17:58:00,,,v1,
CMU-TimeSeries,2020-09-28,09/28/20-20:46:25,,,v1,
CMU-TimeSeries,2020-09-28,09/28/20-20:46:25,,,v1,
CMU-TimeSeries,2020-10-05,10/06/20-04:40:14,,,v1,
CMU-TimeSeries,2020-10-05,10/06/20-04:40:14,,,v1,
CMU-TimeSeries,2020-10-12,10/12/20-18:26:22,,,v1,
CMU-TimeSeries,2020-10-12,10/12/20-18:26:22,,,v1,
CMU-TimeSeries,2020-10-19,10/19/20-23:16:40,,,v1,
CMU-TimeSeries,2020-10-19,10/19/20-23:16:40,,,v1,
CMU-TimeSeries,2020-10-26,10/26/20-18:33:47,,,v1,
CMU-TimeSeries,2020-10-26,10/26/20-18:33:47,,,v1,
CMU-TimeSeries,2020-11-02,11/02/20-20:58:38,,,v1,
CMU-TimeSeries,2020-11-02,11/02/20-20:58:38,,,v1,
CMU-TimeSeries,2020-11-09,11/09/20-17:43:29,,,v1,
CMU-TimeSeries,2020-11-09,11/09/20-17:43:29,,,v1,
CMU-TimeSeries,2020-11-16,11/16/20-16:52:43,,,v1,
CMU-TimeSeries,2020-11-16,11/16/20-16:52:43,,,v1,
CMU-TimeSeries,2020-11-23,11/23/20-19:39:04,,,v1,
CMU-TimeSeries,2020-11-23,11/23/20-19:39:04,,,v1,
CMU-TimeSeries,2020-11-30,11/30/20-19:46:07,,,v1,
CMU-TimeSeries,2020-11-30,11/30/20-19:46:07,,,v1,
CMU-TimeSeries,2020-12-07,12/07/20-19:06:32,,,v1,
CMU-TimeSeries,2020-12-07,12/07/20-19:06:32,,,v1,
CMU-TimeSeries,2020-12-14,12/14/20-17:54:52,,,v1,
CMU-TimeSeries,2020-12-14,12/14/20-17:54:52,,,v1,
CMU-TimeSeries,2020-12-21,12/21/20-19:22:04,,,v1,
CMU-TimeSeries,2020-12-21,12/21/20-19:22:04,,,v1,
CMU-TimeSeries,2020-12-28,12/28/20-19:24:22,,,v1,
CMU-TimeSeries,2020-12-28,12/28/20-19:24:22,,,v1,
CMU-TimeSeries,2021-01-04,01/04/21-20:56:12,,,v1,
CMU-TimeSeries,2021-01-04,01/04/21-20:56:12,,,v1,
